,edge,edge_text
0,((has/Mv.|f--3s-/en accused/P.sox.<pf----/en) moscow/Cp.s/en kiev/Cp.s/en (of/T/en (holding/P.o.|pg----/en (in/Br.ma/en captive/Ca/en (eastern/Ma/en ukraine/Cp.s/en))))),Moscow has accused Kiev of holding captive in eastern Ukraine
1,((has/Mv.|f--3s-/en accused/Pd.sox.<pf----/en) india/Cp.s/en pakistan/Cp.s/en (of/T/en (and/J/en (killing/P.ox.|pg----/en (of/Br.ma/en two/C#/en (its/Mp/en soldiers/Cc.p/en)) (in/T/en (a/Md/en (ghastly/Ma/en attack/Cc.s/en)))) (mutilating/Pd.o.|pg----/en (of/Br.ma/en one/C#/en (along/Br.ma/en (the/Md/en bodies/Cc.p/en) (between/Br.ma/en (the/Md/en (tense/Ma/en (disputed/Mv.<pf----/en border/Cc.s/en))) (the/Md/en ((nuclear/Ma/en armed/Ma/en) neighbours/Cc.p/en))))))))),"INDIA has accused Pakistan of killing two of its soldiers in a ghastly"" attack and mutilating one of the bodies along the tense disputed border between the nuclear-armed neighbours"
2,((has/Mv.|f--3s-/en accused/Pd.sox.<pf----/en) putin/Cp.s/en europe/Cp.s/en (of/T/en (ignoring/P.o.|pg----/en (the/Md/en (ukrainian/Ma/en army/Cc.s/en))))),Putin has accused Europe of ignoring the Ukrainian army
3,"((has/Mv.|f--3s-/en accused/Pd.sox.<pf----/en) russia/Cp.s/en poland/Cp.s/en (of/T/en (engaging/P.xx.|pg----/en (in/T/en (of/Br.ma/en (a/Md/en mockery/Cc.s/en) history/Cc.s/en)) (,/J/en (after/T/en (credited/Pd.sox.<f-----/en (the/Md/en (polish/Ma/en (foreign/Ma/en minister/Cc.s/en))) (ukrainian/Ma/en soldiers/Cc.p/en) ((rather/M/en than/T/en) (the/Md/en (+/B.am/. soviet/Cp.s/en (+/B.am/. red/Cp.s/en army/Cp.s/en)))))) (with/T/en (liberating/P.o.|pg----/en auschwitz/Cp.s/en))))))","Russia has accused Poland of engaging in a mockery of history"" after the Polish foreign minister credited Ukrainian soldiers, rather than the Soviet Red Army, with liberating Auschwitz"
4,((has/Mv.|f--3s-/en accused/Pd.sox.<pf----/en) ukraine/Cp.s/en russia/Cp.s/en (of/T/en (launching/P.o.|pg----/en (across/Br.ma/en (a/Md/en (new/Ma/en (military/Ma/en incursion/Cc.s/en))) (its/Mp/en (eastern/Ma/en border/Cc.s/en)))))),Ukraine has accused Russia of launching a new military incursion across its eastern border
5,((has/Mv.|f--3s-/en accused/Pd.soxx.<pf----/en) china/Cp.s/en japan/Cp.s/en (of/T/en (trying/P.r.|pg----/en ((to/Mi/en smear/P.o.-i-----/en) ('s/Bp.am/en beijing/Cp.s/en image/Cc.s/en)))) (after/T/en (alleged/Pd.sr.<f-----/en tokyo/Cp.s/en (locked/P.soxx.<f-----/en (a/Md/en (chinese/Ma/en warship/Cc.s/en)) (its/Mp/en (+/B.am/. (targeting/Mv.|pg----/en weapons/Cc.p/en) radar/Cc.s/en)) (on/T/en (a/Md/en (japanese/Ma/en vessel/Cc.s/en))) (near/T/en (disputed/Mv.<pf----/en islands/Cc.p/en)))))),"China has accused Japan of trying to ""smear"" Beijing's image, after Tokyo alleged a Chinese warship locked its weapons-targeting radar on a Japanese vessel near disputed islands"
6,((is/Mv.|f--3s-/en accusing/Pd.sox.|pg----/en) india/Cp.s/en facebook/Cp.s/en (of/T/en (misrepresenting/P.r.|pg----/en (want/P.so.|f-----/en ((how/M/en many/Ma/en) people/Cc.p/en) (its/Mp/en (free/Ma/en (+/B.am/. internet/Cc.s/en service/Cc.s/en))))))),India is accusing Facebook of misrepresenting how many people want its free internet service
7,((may/Mm/en accuses/Pd.sox.|f--3s-/en) theresa/Cp.s/en eu/Cp.s/en (of/T/en (trying/P.r.|pg----/en ((to/Mi/en affect/P.o.-i-----/en) (+/B.am/. uk/Cp.s/en election/Cc.s/en))))),Theresa May accuses EU of trying to affect UK election
8,((to/Mi/en accuse/P.sox.-i-----/en) eu/Cp.s/en google/Cp.s/en (of/T/en ((illegally/M/en abusing/P.o.|pg----/en) (+/B.am/. search/Cc.s/en dominance/Cc.s/en)))),EU to accuse Google of illegally abusing search dominance
9,(accuse/P.sox.|f-----/en germans/Cp.p/en austria/Cp.s/en (of/T/en (driving/P.oxx.|pg----/en migrants/Cc.p/en (to/T/en border/Cc.s/en) (after/T/en dark/Cc.s/en)))),Germans accuse Austria of driving migrants to border after dark
